,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,220,35319136000143,COMERCIAL ATACADISTA DE ALIMENTOS SAO JORGE LTDA,ATACADO SAO JORGE,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,1990-05-02T00:00:00,2022-07-07T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,N,N,N,-8.135535,-34.951595
1,221,35319136000143,COMERCIAL ATACADISTA DE ALIMENTOS SAO JORGE LTDA,ATACADO SAO JORGE,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,1990-05-02T00:00:00,2022-07-07T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4772500,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",N,S,N,N,-8.135535,-34.951595
2,222,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4751201,Comercio varejista especializado de equipamentos e suprimentos de informatica,N,N,N,N,-8.135535,-34.951595
3,223,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4761003,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,N,N,N,N,-8.135535,-34.951595
4,224,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4741500,COMÉRCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA,N,N,N,S,-8.135535,-34.951595
5,225,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4742300,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,S,N,N,N,-8.135535,-34.951595
6,226,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4744001,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,N,N,N,N,-8.135535,-34.951595
7,227,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4744003,COMÉRCIO VAREJISTA DE MATERIAIS HIDRÁULICOS,N,N,N,N,-8.135535,-34.951595
8,228,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4744005,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,N,N,N,N,-8.135535,-34.951595
9,229,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4754703,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO,N,N,N,N,-8.135535,-34.951595
10,230,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4744099,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,N,N,N,S,-8.135535,-34.951595
